season,round,driver_id,total_stops,avg_stop_duration,fastest_stop
2019,3,giovinazzi,2,25.1605,25.137
2019,3,grosjean,2,23.3905,23.261
2019,3,hamilton,2,23.1205,22.644
2019,3,hulkenberg,1,24.107,24.107
2019,3,kevin_magnussen,2,23.673499999999997,23.383
2019,3,kubica,1,32.627,32.627
2019,3,kvyat,3,28.837666666666667,17.257
2019,3,leclerc,2,23.573999999999998,22.921
2019,3,max_verstappen,2,22.793999999999997,22.365
2019,3,norris,3,35.63333333333333,22.524
2019,3,perez,1,23.733,23.733
2019,3,raikkonen,1,23.888,23.888
2019,3,ricciardo,1,23.506,23.506
2019,3,russell,2,24.1485,23.965
2019,3,sainz,2,34.205,22.532
2019,3,stroll,2,23.4905,23.466
2019,3,vettel,2,22.5325,22.316
2019,4,albon,1,20.72,20.72
2019,4,bottas,1,20.006,20.006
2019,4,giovinazzi,1,20.776,20.776
2019,4,grosjean,1,20.906,20.906
2019,4,hamilton,1,19.993,19.993
2019,4,hulkenberg,2,21.0975,20.87
2019,4,kevin_magnussen,2,20.488500000000002,20.118
2019,4,kubica,3,18.936333333333334,15.069
2019,4,kvyat,1,21.013,21.013
2019,4,leclerc,2,20.119500000000002,19.857
2019,4,max_verstappen,1,20.973,20.973
2019,4,norris,2,20.9495,19.819
2019,4,perez,1,20.939,20.939
2019,4,raikkonen,1,21.401,21.401
2019,4,ricciardo,1,20.884,20.884
2019,4,russell,2,20.613,20.475
2019,4,sainz,1,19.755,19.755
2019,4,stroll,1,23.099,23.099
2019,4,vettel,1,19.981,19.981
2019,5,albon,2,30.468,23.591
2019,5,bottas,2,22.026,22.018
2019,5,gasly,2,22.329,22.095
2019,5,giovinazzi,2,22.944000000000003,22.381
2019,5,grosjean,2,22.555500000000002,22.379
2019,5,hamilton,2,22.387999999999998,22.265
2019,5,hulkenberg,1,22.193,22.193
2019,5,kevin_magnussen,2,22.508499999999998,22.025
2019,5,kubica,2,22.048000000000002,21.954
2019,5,kvyat,2,27.935,22.049
2019,5,leclerc,2,22.642000000000003,21.638
2019,5,max_verstappen,2,22.4785,22.417
2019,5,norris,1,21.579,21.579
2019,5,perez,2,22.8385,22.781
2019,5,raikkonen,2,22.4455,22.342
2019,5,ricciardo,2,22.5405,22.379
2019,5,russell,2,22.144,21.846
2019,5,sainz,2,21.506500000000003,21.468
2019,5,stroll,1,23.321,23.321
2019,5,vettel,2,22.694499999999998,21.643
2019,6,albon,1,25.062,25.062
2019,6,bottas,2,24.903,24.776
2019,6,gasly,2,24.009500000000003,23.858
2019,6,giovinazzi,1,35.651,35.651
2019,6,grosjean,1,24.219,24.219
2019,6,hamilton,1,24.266,24.266
2019,6,hulkenberg,1,25.532,25.532
2019,6,kevin_magnussen,1,25.419,25.419
2019,6,kubica,1,23.946,23.946
2019,6,kvyat,1,24.023,24.023
2019,6,leclerc,2,25.8345,25.705
2019,6,max_verstappen,1,24.011,24.011
2019,6,norris,1,25.026,25.026
2019,6,perez,1,28.463,28.463
2019,6,raikkonen,1,26.299,26.299
2019,6,ricciardo,1,24.269,24.269
2019,6,russell,1,26.165,26.165
2019,6,sainz,1,23.795,23.795
2019,6,stroll,1,24.591,24.591
2019,6,vettel,1,24.483,24.483
2019,7,albon,1,37.95,37.95
2019,7,bottas,2,23.725,23.456
2019,7,gasly,1,23.485,23.485
2019,7,giovinazzi,1,23.884,23.884
2019,7,grosjean,1,24.071,24.071
2019,7,hamilton,1,23.662,23.662
2019,7,hulkenberg,1,24.03,24.03
2019,7,kevin_magnussen,1,24.381,24.381
2019,7,kubica,2,24.1645,23.119
2019,7,kvyat,1,23.825,23.825
2019,7,leclerc,1,23.732,23.732
2019,7,max_verstappen,1,23.426,23.426
2019,7,perez,1,24.076,24.076
2019,7,raikkonen,2,25.003999999999998,24.666
2019,7,ricciardo,1,23.927,23.927
2019,7,russell,1,23.686,23.686
2019,7,sainz,1,24.727,24.727
2019,7,stroll,1,23.727,23.727
2019,7,vettel,1,23.782,23.782
2019,8,albon,1,30.279,30.279
2019,8,bottas,1,30.412,30.412
2019,8,gasly,1,30.228,30.228
2019,8,giovinazzi,2,31.2695,30.842
2019,8,grosjean,1,30.837,30.837
2019,8,hamilton,1,30.186,30.186
2019,8,hulkenberg,1,30.884,30.884
2019,8,kevin_magnussen,1,30.832,30.832
2019,8,kubica,1,29.792,29.792
2019,8,kvyat,1,30.233,30.233
2019,8,leclerc,1,30.203,30.203
2019,8,max_verstappen,1,30.118,30.118
2019,8,norris,1,30.576,30.576
2019,8,perez,1,37.286,37.286
2019,8,raikkonen,1,29.975,29.975
2019,8,ricciardo,1,31.031,31.031
2019,8,russell,2,34.722,31.95
2019,8,sainz,1,29.92,29.92
2019,8,stroll,1,30.849,30.849
2019,8,vettel,2,30.256,30.044
2019,9,albon,1,21.225,21.225
2019,9,bottas,1,22.552,22.552
2019,9,gasly,1,22.239,22.239
2019,9,giovinazzi,1,21.672,21.672
2019,9,grosjean,1,22.265,22.265
2019,9,hamilton,1,30.067,30.067
2019,9,hulkenberg,1,21.985,21.985
2019,9,kevin_magnussen,3,20.592,16.224
2019,9,kubica,1,21.525,21.525
2019,9,kvyat,1,25.091,25.091
2019,9,leclerc,1,21.878,21.878
2019,9,max_verstappen,1,21.11,21.11
2019,9,norris,1,21.547,21.547
2019,9,perez,1,22.33,22.33
2019,9,raikkonen,1,21.709,21.709
2019,9,ricciardo,1,22.305,22.305
2019,9,russell,1,22.772,22.772
2019,9,sainz,1,21.266,21.266
2019,9,stroll,1,21.982,21.982
2019,9,vettel,2,23.7435,22.251
2019,10,albon,1,28.954,28.954
2019,10,bottas,2,28.335,28.177
2019,10,gasly,1,27.905,27.905
2019,10,grosjean,1,33.562,33.562
2019,10,hamilton,1,28.905,28.905
2019,10,hulkenberg,1,28.926,28.926
2019,10,kevin_magnussen,1,32.767,32.767
2019,10,kubica,1,28.694,28.694
